"","individual.local.identifier","tag.local.identifier","study.local.timestamp","date"
"461","TEST",9437,2023-07-02 09:16:40,2023-07-02
"462","TEST",9437,2023-07-02 09:18:11,2023-07-02
"463","TEST",9437,2023-07-02 09:19:41,2023-07-02
"464","TEST",9437,2023-07-02 09:21:12,2023-07-02
"465","TEST",9437,2023-07-02 09:22:42,2023-07-02
"466","TEST",9437,2023-07-02 09:24:10,2023-07-02
"467","TEST",9437,2023-07-02 09:25:40,2023-07-02
"468","TEST",9437,2023-07-02 09:27:10,2023-07-02
"469","TEST",9437,2023-07-02 09:28:43,2023-07-02
"470","TEST",9437,2023-07-02 09:30:12,2023-07-02
"471","TEST",9437,2023-07-02 09:31:41,2023-07-02
"472","TEST",9437,2023-07-02 09:33:13,2023-07-02
"473","TEST",9437,2023-07-02 09:34:43,2023-07-02
"474","TEST",9437,2023-07-02 09:36:12,2023-07-02
"475","TEST",9437,2023-07-02 09:37:46,2023-07-02
"476","TEST",9437,2023-07-02 09:39:10,2023-07-02
"477","TEST",9437,2023-07-02 09:40:40,2023-07-02
"478","TEST",9437,2023-07-02 09:42:08,2023-07-02
"479","TEST",9437,2023-07-02 09:43:41,2023-07-02
"480","TEST",9437,2023-07-02 09:45:19,2023-07-02
"481","TEST",9437,2023-07-02 09:46:40,2023-07-02
"482","TEST",9437,2023-07-02 09:48:10,2023-07-02
"483","TEST",9437,2023-07-02 09:49:39,2023-07-02
"484","TEST",9437,2023-07-02 09:51:11,2023-07-02
"485","TEST",9437,2023-07-02 09:52:40,2023-07-02
"486","TEST",9437,2023-07-02 09:54:12,2023-07-02
"487","TEST",9437,2023-07-02 09:55:41,2023-07-02
"488","TEST",9437,2023-07-02 09:57:09,2023-07-02
"489","TEST",9437,2023-07-02 09:58:42,2023-07-02
"490","TEST",9437,2023-07-02 10:00:18,2023-07-02
"491","TEST",9437,2023-07-02 10:01:46,2023-07-02
"492","TEST",9437,2023-07-02 10:03:14,2023-07-02
"493","TEST",9437,2023-07-02 10:04:39,2023-07-02
"494","TEST",9437,2023-07-02 10:06:09,2023-07-02
"495","TEST",9437,2023-07-02 10:07:41,2023-07-02
"496","TEST",9437,2023-07-02 10:09:10,2023-07-02
"497","TEST",9437,2023-07-02 10:10:40,2023-07-02
"498","TEST",9437,2023-07-02 10:12:13,2023-07-02
"499","TEST",9437,2023-07-02 10:13:46,2023-07-02
"500","TEST",9437,2023-07-02 10:15:27,2023-07-02
"501","TEST",9437,2023-07-02 10:16:49,2023-07-02
"502","TEST",9437,2023-07-02 10:18:09,2023-07-02
"503","TEST",9437,2023-07-02 10:19:45,2023-07-02
"504","TEST",9437,2023-07-02 10:21:15,2023-07-02
"505","TEST",9437,2023-07-02 10:22:47,2023-07-02
"506","TEST",9437,2023-07-02 10:24:14,2023-07-02
"507","TEST",9437,2023-07-02 10:25:39,2023-07-02
"508","TEST",9437,2023-07-02 10:27:10,2023-07-02
"509","TEST",9437,2023-07-02 10:28:40,2023-07-02
"510","TEST",9437,2023-07-02 10:30:11,2023-07-02
"511","TEST",9437,2023-07-02 10:31:48,2023-07-02
"512","TEST",9437,2023-07-02 10:33:10,2023-07-02
"513","TEST",9437,2023-07-02 10:34:43,2023-07-02
"514","TEST",9437,2023-07-02 10:36:08,2023-07-02
"515","TEST",9437,2023-07-02 10:37:40,2023-07-02
"516","TEST",9437,2023-07-02 10:39:11,2023-07-02
"517","TEST",9437,2023-07-02 10:40:39,2023-07-02
"518","TEST",9437,2023-07-02 10:42:08,2023-07-02
"519","TEST",9437,2023-07-02 10:43:37,2023-07-02
"520","TEST",9437,2023-07-02 10:45:10,2023-07-02
"521","TEST",9437,2023-07-02 10:46:40,2023-07-02
"522","TEST",9437,2023-07-02 10:48:11,2023-07-02
"523","TEST",9437,2023-07-02 10:49:37,2023-07-02
"524","TEST",9437,2023-07-02 10:51:08,2023-07-02
"525","TEST",9437,2023-07-02 10:52:40,2023-07-02
"526","TEST",9437,2023-07-02 10:54:09,2023-07-02
"527","TEST",9437,2023-07-02 10:55:37,2023-07-02
"528","TEST",9437,2023-07-02 10:57:13,2023-07-02
"529","TEST",9437,2023-07-02 10:58:40,2023-07-02
"530","TEST",9437,2023-07-02 11:00:09,2023-07-02
"531","TEST",9437,2023-07-02 11:01:53,2023-07-02
"532","TEST",9437,2023-07-02 11:03:16,2023-07-02
"533","TEST",9437,2023-07-02 11:04:44,2023-07-02
"534","TEST",9437,2023-07-02 11:06:15,2023-07-02
"535","TEST",9437,2023-07-02 11:07:41,2023-07-02
"536","TEST",9437,2023-07-02 11:09:13,2023-07-02
"537","TEST",9437,2023-07-02 11:10:41,2023-07-02
"538","TEST",9437,2023-07-02 11:12:18,2023-07-02
"539","TEST",9437,2023-07-02 11:13:50,2023-07-02
"540","TEST",9437,2023-07-02 11:15:14,2023-07-02
"541","TEST",9437,2023-07-02 11:16:43,2023-07-02
"542","TEST",9437,2023-07-02 11:18:10,2023-07-02
"543","TEST",9437,2023-07-02 11:19:39,2023-07-02
